id,name,brand,price,rating,dpi,hand_orientation,model,scrape_datetime
176,glorious_model_o_glossy_white_rgb_gaming_mouse,,85.88,,,,GO-GWHITE,2024-09-15 17:39:07
177,delux_m700bu_pmw3325_black_7_buttons_1_x_wheel_usb_wired_optical_gaming_mouse,,78.93,,,,M700BU-PMW3325,2024-09-15 17:39:07
178,evga_x17_gaming_mouse_wired_black_customizable_16_000_dpi_5_profiles_10_buttons_ergonomic_903_w1_17bk_k3,,93.33,,,,RNAB08WM2QZG6,2024-09-15 17:39:07
179,logitech_910_004070_black_8_buttons_1_x_wheel_usb_wired_gaming_mouse,,136.63,,,,910-004070,2024-09-15 17:39:07
180,mad_catz_r_a_t_6_optical_gaming_mouse_mr04dcinbl000_black_11_buttons_wired_optical_gaming_mouse,,210.33,,,,MR04DCINBL000,2024-09-15 17:39:07
181,hp_150_mouse_right_and_left_handed_optical_wired_usb_black_for_victus_by_hp_laptop_16_laptop_14_15_17_,,18.19,,,,240J6AA#ABB,2024-09-15 17:39:07
182,endgame_gear_xm1r_gaming_mouse_paw3370_sensor_50_to_19_000_cpi_mouse_for_gaming_5_buttons_kailh_gm_8_0_switches_80_m_wired_computer_mouse_2_46_oz_lightweight_gaming_mouse_white,,135.92,,,,RNAB08PL1LQ4J,2024-09-15 17:39:07
183,roccat_kone_aimo_remastered_black_1_x_wheel_usb_wired_optical_16000_dpi_rgba_smart_customization_gaming_mouse,,183.14,,,,MGEN-0322,2024-09-15 17:39:07
184,microsoft_bluetooth_mouse_mouse_optical_3_buttons_wireless_bluetooth_5_0_le_matte_black,,124.84,,,,RJN-00002,2024-09-15 17:39:07
185,patriot_memory_viper_v530_optical_gaming_mouse,,29.52,,,,PV530OULK,2024-09-15 17:39:07
186,bloody_optical_gaming_mouse_with_light_strike_lk_switch_scroll_fully_programmable_and_advance_macros_a70_,,60.08,,,,B012AIJNSO-YX012,2024-09-15 17:39:07
187,logitech_mx_anywhere_3_for_business_mouse_laser_6_buttons_wireless_bluetooth_2_4_ghz_logitech_logi_bolt_usb,,262.68,,,,910-006216,2024-09-15 17:39:07
188,lenovo_m300_gaming_mouse,,82.29,,,,MBVB08D4KH7RN,2024-09-15 17:39:07
